hidden_units,lags,fold,MSE,MAE,lag
20,,5,5086.27001953125,57.879193032656374,35.0
50,,5,5056.4970703125,53.29124109906479,35.0
100,,5,5778.21533203125,56.05448537308632,35.0
5,,5,8517.4091796875,82.393158220637,50.0
10,,5,3470.471923828125,45.23434401156479,50.0
20,,5,2730.387939453125,32.585629320871135,50.0
50,,5,2005.042724609375,33.4206981632518,50.0
100,,5,2285.68359375,34.90352902121821,50.0
5,,5,6257.4033203125,51.177541696463926,50.0
10,,5,6866.740234375,53.69009732011283,50.0
20,,5,8160.7451171875,57.025077190425584,50.0
50,,5,7483.1552734375,53.63507789257821,50.0
100,,5,7301.99658203125,53.51188677367741,50.0
5,,5,6515.330078125,71.24365825532134,50.0
10,,5,4928.365234375,64.2694803435727,50.0
20,,5,4583.142578125,62.11417747699653,50.0
50,,5,4482.7587890625,60.89904678482924,50.0
100,,5,5248.82177734375,61.93484942255918,50.0
5,,5,4268.38134765625,59.11783516407013,50.0
10,,5,2407.188232421875,30.01131904686587,50.0
20,,5,1799.7659912109375,28.888177557335005,50.0
50,,5,1761.36083984375,30.954738099158966,50.0
100,,5,1921.0594482421875,28.755886696052023,50.0
5,,5,7727.24658203125,52.28689877672374,50.0
10,,5,9522.869140625,57.99986606686688,50.0
20,,5,8828.8876953125,55.203668396228565,50.0
50,,5,8448.2880859375,54.621607191674926,50.0
100,,5,9354.326171875,56.7554650531251,50.0
